realm,process,prosub,sub,V
Sensing,Mental,Mental: Desiderative,Desiderative,strive
Sensing,Mental,Mental: Desiderative,Desiderative,striving
Sensing,Mental,Mental: Desiderative,Desiderative,suppos
Sensing,Mental,Mental: Desiderative,Desiderative,tri to reach
Sensing,Mental,Mental: Desiderative,Desiderative,wanna
Sensing,Mental,Mental: Desiderative,Desiderative,want
Sensing,Mental,Mental: Desiderative,Desiderative,wait
Sensing,Mental,Mental: Desiderative,Desiderative,can wait until
Sensing,Mental,Mental: Desiderative,Desiderative,would
Sensing,Mental,Mental: Desiderative,Desiderative,would have been
Sensing,Mental,Mental: Desiderative,Desiderative,would like to go
Sensing,Mental,Mental: Desiderative,Desiderative,would love to go
Sensing,Mental,Mental: Desiderative,Desiderative, would like to be
Sensing,Mental,Mental: Desiderative,Desiderative,will
Sensing,Mental,Mental: Desiderative,Desiderative,wont
Sensing,Mental,Mental: Desiderative,Desiderative,wish
Sensing,Mental,Mental: Desiderative,Desiderative,would be
Sensing,Mental,Mental: Desiderative,Desiderative,would get
Sensing,Mental,Mental: Desiderative,Desiderative,would go
Sensing,Mental,Mental: Desiderative,Desiderative,would have
Sensing,Mental,Mental: Desiderative,Desiderative,would have to
Sensing,Mental,Mental: Desiderative,Desiderative,would have to buy
Sensing,Mental,Mental: Desiderative,Desiderative,would have to pay
Sensing,Mental,Mental: Desiderative,Desiderative,would like
Sensing,Mental,Mental: Desiderative,Desiderative,would like to
Sensing,Mental,Mental: Desiderative,Desiderative,would like to pursu
Sensing,Mental,Mental: Desiderative,Desiderative,would like to pursu without
Sensing,Mental,Mental: Desiderative,Desiderative,wont be
Sensing,Mental,Mental: Emotive,Emotive,am ok with
Sensing,Mental,Mental: Emotive,Emotive,accommod
Sensing,Mental,Mental: Emotive,Emotive,accept
Sensing,Mental,Mental: Emotive,Emotive,adore
Sensing,Mental,Mental: Emotive,Emotive,amaz
Sensing,Mental,Mental: Emotive,Emotive,annoy
Sensing,Mental,Mental: Emotive,Emotive,annoy at
Sensing,Mental,Mental: Emotive,Emotive,appeal
Sensing,Mental,Mental: Emotive,Emotive,appreci
Sensing,Mental,Mental: Emotive,Emotive,appreci be
Sensing,Mental,Mental: Emotive,Emotive,appreci by
Sensing,Mental,Mental: Emotive,Emotive,appreci have
Sensing,Mental,Mental: Emotive,Emotive,appreci listen
Sensing,Mental,Mental: Emotive,Emotive,bear with
Sensing,Mental,Mental: Emotive,Emotive,be care
Sensing,Mental,Mental: Emotive,Emotive,benefit
Sensing,Mental,Mental: Emotive,Emotive,cfor
Sensing,Mental,Mental: Emotive,Emotive,did bother
Sensing,Mental,Mental: Emotive,Emotive,doe bother
Sensing,Mental,Mental: Emotive,Emotive,bless
Sensing,Mental,Mental: Emotive,Emotive,bother
Sensing,Mental,Mental: Emotive,Emotive,brave
Sensing,Mental,Mental: Emotive,Emotive,calm
Sensing,Mental,Mental: Emotive,Emotive,care
Sensing,Mental,Mental: Emotive,Emotive,care about
Sensing,Mental,Mental: Emotive,Emotive,take care
Sensing,Mental,Mental: Emotive,Emotive,caress
Sensing,Mental,Mental: Emotive,captiv
Sensing,Mental,Mental: Emotive,Emotive,celebr
Sensing,Mental,Mental: Emotive,Emotive,celebr in
Sensing,Mental,Mental: Emotive,Emotive,celebr with
Sensing,Mental,Mental: Emotive,Emotive,cope
Sensing,Mental,Mental: Emotive,Emotive,cope with
Sensing,Mental,Mental: Emotive,Emotive,cri
Sensing,Mental,Mental: Emotive,Emotive,cri and cri
Sensing,Mental,Mental: Emotive,Emotive,cry
Sensing,Mental,Mental: Emotive,Emotive,dare
Sensing,Mental,Mental: Emotive,Emotive,defeat
Sensing,Mental,Mental: Emotive,Emotive,dedic
Sensing,Mental,Mental: Emotive,Emotive,delight
Sensing,Mental,Mental: Emotive,Emotive,demor
Sensing,Mental,Mental: Emotive,Emotive,depress
Sensing,Mental,Mental: Emotive,Emotive,deserv
Sensing,Mental,Mental: Emotive,Emotive,devot
Sensing,Mental,Mental: Emotive,Emotive,disgust
Sensing,Mental,Mental: Emotive,Emotive,am disappoint
Sensing,Mental,Mental: Emotive,Emotive,embrac
Sensing,Mental,Mental: Emotive,Emotive,embarrass
Sensing,Mental,Mental: Emotive,Emotive,encourag
Sensing,Mental,Mental: Emotive,Emotive,encourag by
Sensing,Mental,Mental: Emotive,Emotive,engag in
Sensing,Mental,Mental: Emotive,Emotive,enjoy
Sensing,Mental,Mental: Emotive,Emotive,enjoy do
Sensing,Mental,Mental: Emotive,Emotive,enjoy from
Sensing,Mental,Mental: Emotive,Emotive,enjoy go
Sensing,Mental,Mental: Emotive,Emotive,enjoy and seek
Sensing,Mental,Mental: Emotive,Emotive,enrich
Sensing,Mental,Mental: Emotive,Emotive,falter
Sensing,Mental,Mental: Emotive,Emotive,fanci
Sensing,Mental,Mental: Emotive,Emotive,fear
Sensing,Mental,Mental: Emotive,Emotive,fear in
Sensing,Mental,Mental: Emotive,Emotive,feel down
Sensing,Mental,Mental: Emotive,Emotive,feel for
Sensing,Mental,Mental: Emotive,Emotive,feel insecur scare
Sensing,Mental,Mental: Emotive,Emotive,feel remors
Sensing,Mental,Mental: Emotive,Emotive,felt worri for
Sensing,Mental,Mental: Emotive,Emotive,free
Sensing,Mental,Mental: Emotive,Emotive,favor
Sensing,Mental,Mental: Emotive,Emotive,hate
Sensing,Mental,Mental: Emotive,Emotive,will hate do
Sensing,Mental,Mental: Emotive,Emotive,heal
Sensing,Mental,Mental: Emotive,Emotive,heart
Sensing,Mental,Mental: Emotive,Emotive,hearten
Sensing,Mental,Mental: Emotive,Emotive,impress
Sensing,Mental,Mental: Emotive,Emotive,honor
Sensing,Mental,Mental: Emotive,Emotive,honour
Sensing,Mental,Mental: Emotive,Emotive,hurt
Sensing,Mental,Mental: Emotive,Emotive,interest in
Sensing,Mental,Mental: Emotive,Emotive,kiss
Sensing,Mental,Mental: Emotive,Emotive,love
Sensing,Mental,Mental: Emotive,Emotive,long for
Sensing,Mental,Mental: Emotive,Emotive,like
Sensing,Mental,Mental: Emotive,Emotive,made me cri
Sensing,Mental,Mental: Emotive,Emotive,mind
Sensing,Mental,Mental: Emotive,Emotive,mourn
Sensing,Mental,Mental: Emotive,Emotive,need
Sensing,Mental,Mental: Emotive,Emotive,nurtur
Sensing,Mental,Mental: Emotive,Emotive,panic
Sensing,Mental,Mental: Emotive,Emotive,piss
Sensing,Mental,Mental: Emotive,Emotive,pleas
Sensing,Mental,Mental: Emotive,Emotive,prais
Sensing,Mental,Mental: Emotive,Emotive,prefer
Sensing,Mental,Mental: Emotive,Emotive,provok
Sensing,Mental,Mental: Emotive,Emotive,prosper
Sensing,Mental,Mental: Emotive,Emotive,rage
Sensing,Mental,Mental: Emotive,Emotive,rage around
Sensing,Mental,Mental: Emotive,Emotive,regret
Sensing,Mental,Mental: Emotive,Emotive,rejoic in
Sensing,Mental,Mental: Emotive,Emotive,respect
Sensing,Mental,Mental: Emotive,Emotive,reward
Sensing,Mental,Mental: Emotive,Emotive,sad
Sensing,Mental,Mental: Emotive,Emotive,sadden
Sensing,Mental,Mental: Emotive,Emotive,scare
Sensing,Mental,Mental: Emotive,Emotive,am scare of
Sensing,Mental,Mental: Emotive,Emotive,shine as
Sensing,Mental,Mental: Emotive,Emotive,struggl and sacrif
Sensing,Mental,Mental: Emotive,Emotive,sympathis
Sensing,Mental,Mental: Emotive,Emotive,succeed
Sensing,Mental,Mental: Emotive,Emotive,suffer
Sensing,Mental,Mental: Emotive,Emotive,surpris
Sensing,Mental,Mental: Emotive,Emotive,terrifi
Sensing,Mental,Mental: Emotive,Emotive,terrifi of
Sensing,Mental,Mental: Emotive,Emotive,thrive
Sensing,Mental,Mental: Emotive,Emotive,treasur
Sensing,Mental,Mental: Emotive,Emotive,thank
Sensing,Mental,Mental: Emotive,Emotive,toler
Sensing,Mental,Mental: Emotive,Emotive,trust
Sensing,Mental,Mental: Emotive,Emotive,triumph
Sensing,Mental,Mental: Emotive,Emotive,upset
Sensing,Mental,Mental: Emotive,Emotive,valu
Sensing,Mental,Mental: Emotive,Emotive,weaken
Sensing,Mental,Mental: Emotive,Emotive,whine
Sensing,Mental,Mental: Emotive,Emotive,win
Sensing,Mental,Mental: Emotive,Emotive,win like
Sensing,Mental,Mental: Emotive,Emotive,won
Sensing,Mental,Mental: Emotive,Emotive,worri
Sensing,Mental,Mental: Emotive,Emotive,worri about
Sensing,Mental,Mental: Emotive,Emotive,are worri about
